# LWT-PWN is the IDS/LWT concept list linked to Princeton WordNet 3.0 word sense identifiers.
#
# by Lars Borin
#
# version 1.0
# 2015-03-31
# 
# License: CC-BY 4.0 International <https://creativecommons.org/licenses/by/4.0/>
# 
# If you use this dataset or derivatives of it in publications,
# please cite:
#
# Lars Borin, Bernard Comrie, Anju Saxena 2013. The Intercontinental Dictionary Series –
# a rich and principled database for language comparison. In Lars Borin and Anju Saxena (eds.),
# Approaches to Measuring Linguistic Differences. De Gruyter Mouton. 285–302.
#
# @incollection{Borin-Lars2013-26,
#	title		= "The {I}ntercontinental {D}ictionary {S}eries -- a rich and principled database for language comparison",
#	booktitle	= "Approaches to Measuring Linguistic Differences",
#	author		= "Borin, Lars and Comrie, Bernard and Saxena, Anju",
#	editor		= {Borin, Lars and Saxena, Anju},
#	year		= "2013",
#	publisher	= "De Gruyter Mouton",
#	address		= "Berlin",
#	pages		= "285--302"
# }
#
# Data format:
# <IDS/LWT concept ID>tab<English gloss>tab<relation>tab<PWN word sense ID>tab<PWN definition>
# 
# <relation> is one of
# ss : synonym
# iu : hyponym/subordinate/narrower (A iu B = 'A is a hyponym of B')
# ui : hyperonym/superordinate/broader (A ui B = 'A is a hyperonym of B')
# Mappings to SALDO senses are not disambiguated in this version. Alternatives are separated by ":".
#
#
S03.586	the vulture	ss	old_world_vulture%1:05:00::	any of several large vultures of Africa and Eurasia
S03.591	the bat	ss	bat%1:05:00::	nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
S03.592	the parrot	ss	parrot%1:05:00::	usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
S03.593	the crow	ss	crow%1:05:00::	black birds having a raucous call
S03.594	the dove	ss	dove%1:05:00::	any of numerous small pigeons
S03.596	the owl	ss	owl%1:05:00::	nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
S03.5970	the cormorant	ss	cormorant%1:05:00::	large voracious dark-colored long-necked seabird with a distensible pouch for holding fish; used in Asia to catch fish
S03.5980	the toucan	ss	toucan%1:05:00::	brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
S03.610	the dog	ss	dog%1:05:00::	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; "the dog barked all night"
S03.614	the rabbit	ss	rabbit%1:05:00::	any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
S03.620	the cat	ss	cat%1:05:00::	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
S03.622	the opossum	ss	opossum%1:05:01::	nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America
S03.630	the mouse or rat	ui	mouse%1:05:00::	any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
S03.630	the mouse or rat	ui	rat%1:05:00::	any of various long-tailed rodents similar to but larger than a mouse
S03.650	the fish	ss	fish%1:05:00::	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills; "the shark is a large fish"; "in the living room there was a tank of colorful fish"
S03.652	the fin	ss	fin%1:05:00::	organ of locomotion and balance in fishes and some other aquatic animals
S03.653	the scale	ss	scale%1:05:00::	a flattened rigid plate forming part of the body covering of many animals
S03.654	the gill	ss	gill%1:05:00::	respiratory organ of aquatic animals that breathe oxygen dissolved in water
S03.655	the shell	ss	shell%1:05:01::	the hard largely calcareous covering of a mollusc or a brachiopod
S03.661	the shark	ss	shark%1:05:00::	any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
